case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
cegr0608_001,cegr_0608_txt,105,0.1,38,0,ok,,200,0.000473889640855604,-2.3606563558607e-05,0.0428298292686931,0.00913059519780512,3.83942617503815
cegr0608_002,cegr_0608_txt,105,0.1,38,0.0536594306,ok,,200,0.000488474765884382,-2.36478725415488e-05,0.0504539449738872,0.0111223403954233,3.90569214222383
cegr0608_003,cegr_0608_txt,105,0.1,38,0.2858217391,ok,,200,0.00048263300411917,-2.32629577004722e-05,0.0523023767026385,0.0114756738203539,3.80241324193402
cegr0608_004,cegr_0608_txt,105,0.1,38,0.3707279438,ok,,200,0.000475912875580024,-2.48540967204854e-05,0.0437601583356191,0.00916935689156789,3.94529177417694
cegr0608_005,cegr_0608_txt,105,0.1,38,0.4680959866,ok,,200,0.000467182674004263,-2.65556510267266e-05,0.0379470597359433,0.0073637158592279,3.979369299661
cegr0608_006,cegr_0608_txt,105,0.1,38,0.5478621762,ok,,200,0.000457474598921638,-2.95318059833142e-05,0.0315493334092585,0.0056080534157068,4.01104565897253
cegr0608_007,cegr_0608_txt,105,0.1,38,0.6205626263,ok,,200,0.000442892852791971,-2.21891046398246e-05,0.0307862937392214,0.00490675159500731,3.88309772779263
cegr0608_008,cegr_0608_txt,105,0.1,38,0,ok,,200,0.000488227766048863,-2.76019870972378e-05,0.0473292897067719,0.0108525294622612,4.01615934421758
cegr0608_009,cegr_0608_txt,105,0.1,38,0.05314808853,ok,,200,0.000506157723078695,-2.46343944072256e-05,0.0476183094510545,0.010849800809059,4.08670572549468
cegr0608_010,cegr_0608_txt,105,0.1,38,0.1952558824,ok,,200,0.000488374485907838,-1.93343036287076e-05,0.0501148815014361,0.0105488714777052,4.0395588617251
cegr0608_011,cegr_0608_txt,105,0.1,38,0.2190877358,ok,,200,0.00048000020477299,-1.80325648781959e-05,0.0478100024341783,0.00987789202968542,4.00957198645755
cegr0608_012,cegr_0608_txt,105,0.1,38,0.2303416667,ok,,200,0.000479612563783986,-1.77926870885466e-05,0.0478236262729093,0.00980896500452727,4.01419232214853
cegr0608_013,cegr_0608_txt,105,0.1,38,0,ok,,200,0.000506293336397793,-3.35320858923221e-05,0.0458694727900504,0.0105738351359388,4.30034611117482
cegr0608_014,cegr_0608_txt,105,0.1,38,0.1489428571,ok,,200,0.000501901093751066,-3.42514886364079e-05,0.0434177006818279,0.00971037124443036,4.30355057666009
cegr0608_015,cegr_0608_txt,105,0.1,20,0.4261,ok,,200,0.000428375463234223,-1.76291245672236e-05,0.00318630860751057,0.000495703605302711,6.87666752276385
cegr0608_016,cegr_0608_txt,105,0.1,20,0,ok,,200,0.000403178169544656,-1.50881082883303e-05,0.0368050568553908,0.00518184331334448,6.52409657485471
